"渠道","展示名称","配置 ID（保留）","实际 API model ID / 调用标识","固定版本 / 滚动别名","已核对具体版本 / 目录身份","核对日期","核对依据","ID 证据","范围 / 可选状态","说明"
"阿里云百炼","Qwen3-next-80b-a3b-instruct","qwen3-next-80b-a3b-instruct","qwen3-next-80b-a3b-instruct","固定性 / 对应版本待确认","qwen3-next-80b-a3b-instruct","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3-next-80b-a3b-thinking","qwen3-next-80b-a3b-thinking","qwen3-next-80b-a3b-thinking","固定性 / 对应版本待确认","qwen3-next-80b-a3b-thinking","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3-omni-flash","qwen3-omni-flash","qwen3-omni-flash","固定性 / 对应版本待确认","qwen3-omni-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3-omni-flash-2025-09-15","qwen3-omni-flash-2025-09-15","qwen3-omni-flash-2025-09-15","固定版本","qwen3-omni-flash-2025-09-15","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3-omni-flash-2025-12-01","qwen3-omni-flash-2025-12-01","qwen3-omni-flash-2025-12-01","固定版本","qwen3-omni-flash-2025-12-01","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3-vl-flash","qwen3-vl-flash","qwen3-vl-flash","固定性 / 对应版本待确认","qwen3-vl-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-122b-a10b","qwen3.5-122b-a10b","qwen3.5-122b-a10b","固定性 / 对应版本待确认","qwen3.5-122b-a10b","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-27b","qwen3.5-27b","qwen3.5-27b","固定性 / 对应版本待确认","qwen3.5-27b","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-35b-a3b","qwen3.5-35b-a3b","qwen3.5-35b-a3b","固定性 / 对应版本待确认","qwen3.5-35b-a3b","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-397b-a17b","qwen3.5-397b-a17b","qwen3.5-397b-a17b","固定性 / 对应版本待确认","qwen3.5-397b-a17b","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-flash","qwen3.5-flash","qwen3.5-flash","固定性 / 对应版本待确认","qwen3.5-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-flash-2026-02-23","qwen3.5-flash-2026-02-23","qwen3.5-flash-2026-02-23","固定版本","qwen3.5-flash-2026-02-23","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.5-omni-flash","qwen3.5-omni-flash","qwen3.5-omni-flash","固定性 / 对应版本待确认","qwen3.5-omni-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-omni-flash-2026-03-15","qwen3.5-omni-flash-2026-03-15","qwen3.5-omni-flash-2026-03-15","固定版本","qwen3.5-omni-flash-2026-03-15","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.5 Omni Plus","qwen3.5-omni-plus","qwen3.5-omni-plus","固定性 / 对应版本待确认","qwen3.5-omni-plus","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-omni-plus-2026-03-15","qwen3.5-omni-plus-2026-03-15","qwen3.5-omni-plus-2026-03-15","固定版本","qwen3.5-omni-plus-2026-03-15","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.5-plus","qwen3.5-plus","qwen3.5-plus","固定性 / 对应版本待确认","qwen3.5-plus","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.5-plus-2026-02-15","qwen3.5-plus-2026-02-15","qwen3.5-plus-2026-02-15","固定版本","qwen3.5-plus-2026-02-15","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.5-plus-2026-04-20","qwen3.5-plus-2026-04-20","qwen3.5-plus-2026-04-20","固定版本","qwen3.5-plus-2026-04-20","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.6-27b","qwen3.6-27b","qwen3.6-27b","固定性 / 对应版本待确认","qwen3.6-27b","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.6-35b-a3b","qwen3.6-35b-a3b","qwen3.6-35b-a3b","固定性 / 对应版本待确认","qwen3.6-35b-a3b","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.6-flash","qwen3.6-flash","qwen3.6-flash","固定性 / 对应版本待确认","qwen3.6-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.6-flash-2026-04-16","qwen3.6-flash-2026-04-16","qwen3.6-flash-2026-04-16","固定版本","qwen3.6-flash-2026-04-16","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.6-max-preview","qwen3.6-max-preview","qwen3.6-max-preview","固定性 / 对应版本待确认","qwen3.6-max-preview","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.6-plus","qwen3.6-plus","qwen3.6-plus","固定性 / 对应版本待确认","qwen3.6-plus","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.6-plus-2026-04-02","qwen3.6-plus-2026-04-02","qwen3.6-plus-2026-04-02","固定版本","qwen3.6-plus-2026-04-02","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.7 Flash","qwen3.7-flash","qwen3.7-flash","固定性 / 对应版本待确认","qwen3.7-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.7-flash-2026-07-15","qwen3.7-flash-2026-07-15","qwen3.7-flash-2026-07-15","固定版本","qwen3.7-flash-2026-07-15","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.7-max","qwen3.7-max","qwen3.7-max","固定性 / 对应版本待确认","qwen3.7-max","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.7-max-2026-05-17","qwen3.7-max-2026-05-17","qwen3.7-max-2026-05-17","固定版本","qwen3.7-max-2026-05-17","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.7-max-2026-05-20","qwen3.7-max-2026-05-20","qwen3.7-max-2026-05-20","固定版本","qwen3.7-max-2026-05-20","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.7-max-2026-06-08","qwen3.7-max-2026-06-08","qwen3.7-max-2026-06-08","固定版本","qwen3.7-max-2026-06-08","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.7-max-preview","qwen3.7-max-preview","qwen3.7-max-preview","固定性 / 对应版本待确认","qwen3.7-max-preview","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.7 Plus","qwen3.7-plus","qwen3.7-plus","固定性 / 对应版本待确认","qwen3.7-plus","2026-09-21","https://help.aliyun.com/en/model-studio/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.7-plus-2026-05-26","qwen3.7-plus-2026-05-26","qwen3.7-plus-2026-05-26","固定版本","qwen3.7-plus-2026-05-26","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","Qwen3.8 2.4T A95B","qwen3.8-2.4t-a95b","qwen3.8-2.4t-a95b","固定性 / 对应版本待确认","qwen3.8-2.4t-a95b","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.8 27B","qwen3.8-27b","qwen3.8-27b","固定性 / 对应版本待确认","qwen3.8-27b","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.8 Flash","qwen3.8-flash","qwen3.8-flash","固定性 / 对应版本待确认","qwen3.8-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.8 Max","qwen3.8-max","qwen3.8-max","固定性 / 对应版本待确认","qwen3.8-max","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Qwen3.8 Max 0902","qwen3.8-max-0902","qwen3.8-max-0902","固定版本","qwen3.8-max-0902","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","qwq-plus","qwq-plus","qwq-plus","固定性 / 对应版本待确认","qwq-plus","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","step-3.7-flash","stepfun/step-3.7-flash","stepfun/step-3.7-flash","固定性 / 对应版本待确认","stepfun/step-3.7-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","unisound-u2","unisound/unisound-u2","unisound/unisound-u2","固定性 / 对应版本待确认","unisound/unisound-u2","2026-09-21","https://help.aliyun.com/zh/model-studio/unisound-u2-by-unisound","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vanchin · deepseek-r1","vanchin/deepseek-r1","vanchin/deepseek-r1","固定性 / 对应版本待确认","vanchin/deepseek-r1","2026-09-21","https://help.aliyun.com/zh/model-studio/deepseek-api-by-vanchin","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vanchin · deepseek-v3","vanchin/deepseek-v3","vanchin/deepseek-v3","固定性 / 对应版本待确认","vanchin/deepseek-v3","2026-09-21","https://help.aliyun.com/zh/model-studio/deepseek-api-by-vanchin","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vanchin · deepseek-v3.1-terminus","vanchin/deepseek-v3.1-terminus","vanchin/deepseek-v3.1-terminus","固定性 / 对应版本待确认","vanchin/deepseek-v3.1-terminus","2026-09-21","https://help.aliyun.com/zh/model-studio/deepseek-api-by-vanchin","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vanchin · deepseek-v3.2-think","vanchin/deepseek-v3.2-think","vanchin/deepseek-v3.2-think","固定性 / 对应版本待确认","vanchin/deepseek-v3.2-think","2026-09-21","https://help.aliyun.com/zh/model-studio/deepseek-api-by-vanchin","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","DeepSeek-V4-Pro · Vanchin（具体版本待确认）","vanchin/deepseek-v4-pro","vanchin/deepseek-v4-pro","固定性 / 对应版本待确认","vanchin/deepseek-v4-pro","2026-09-21","https://help.aliyun.com/zh/model-studio/deepseek-api-by-vanchin","exact-id","静态可选","渠道单列通用 ID 与 0813 快照；未证明通用 ID 当前指向 0813，不能套用 DeepSeek 直连映射。"
"阿里云百炼","DeepSeek-V4-Pro-0813 · Vanchin","vanchin/deepseek-v4-pro-0813","vanchin/deepseek-v4-pro-0813","固定版本","vanchin/deepseek-v4-pro-0813","2026-09-21","https://help.aliyun.com/zh/model-studio/deepseek-v4-pro-by-vanchin","exact-id","静态可选","该渠道具体型号页将此精确 ID 列在快照版本下。"
"阿里云百炼","vidu · vidu-image_reference2image","vidu/vidu-image_reference2image","vidu/vidu-image_reference2image","固定性 / 对应版本待确认","vidu/vidu-image_reference2image","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vidu · vidu-image-lite_reference2image","vidu/vidu-image-lite_reference2image","vidu/vidu-image-lite_reference2image","固定性 / 对应版本待确认","vidu/vidu-image-lite_reference2image","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vidu · vidu-image-pro_reference2image","vidu/vidu-image-pro_reference2image","vidu/vidu-image-pro_reference2image","固定性 / 对应版本待确认","vidu/vidu-image-pro_reference2image","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vidu · viduq2-fast_reference2image","vidu/viduq2-fast_reference2image","vidu/viduq2-fast_reference2image","固定性 / 对应版本待确认","vidu/viduq2-fast_reference2image","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vidu · viduq2-pro_reference2image","vidu/viduq2-pro_reference2image","vidu/viduq2-pro_reference2image","固定性 / 对应版本待确认","vidu/viduq2-pro_reference2image","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","vidu · viduq3-fast_reference2image","vidu/viduq3-fast_reference2image","vidu/viduq3-fast_reference2image","固定性 / 对应版本待确认","vidu/viduq3-fast_reference2image","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wan2.2-t2i-flash","wan2.2-t2i-flash","wan2.2-t2i-flash","固定性 / 对应版本待确认","wan2.2-t2i-flash","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wan2.2-t2i-plus","wan2.2-t2i-plus","wan2.2-t2i-plus","固定性 / 对应版本待确认","wan2.2-t2i-plus","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wan2.5-i2i-preview","wan2.5-i2i-preview","wan2.5-i2i-preview","固定性 / 对应版本待确认","wan2.5-i2i-preview","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wan2.5-t2i-preview","wan2.5-t2i-preview","wan2.5-t2i-preview","固定性 / 对应版本待确认","wan2.5-t2i-preview","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wan2.6-image","wan2.6-image","wan2.6-image","固定性 / 对应版本待确认","wan2.6-image","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wan2.6-t2i","wan2.6-t2i","wan2.6-t2i","固定性 / 对应版本待确认","wan2.6-t2i","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Wan 2.7 Image","wan2.7-image","wan2.7-image","固定性 / 对应版本待确认","wan2.7-image","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Wan 2.7 Image Pro","wan2.7-image-pro","wan2.7-image-pro","固定性 / 对应版本待确认","wan2.7-image-pro","2026-09-21","https://help.aliyun.com/en/model-studio/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wanx-v1","wanx-v1","wanx-v1","固定性 / 对应版本待确认","wanx-v1","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wanx2.0-t2i-turbo","wanx2.0-t2i-turbo","wanx2.0-t2i-turbo","固定性 / 对应版本待确认","wanx2.0-t2i-turbo","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wanx2.1-imageedit","wanx2.1-imageedit","wanx2.1-imageedit","固定性 / 对应版本待确认","wanx2.1-imageedit","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wanx2.1-t2i-plus","wanx2.1-t2i-plus","wanx2.1-t2i-plus","固定性 / 对应版本待确认","wanx2.1-t2i-plus","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","wanx2.1-t2i-turbo","wanx2.1-t2i-turbo","wanx2.1-t2i-turbo","固定性 / 对应版本待确认","wanx2.1-t2i-turbo","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","mimo-v2.5-pro","xiaomi/mimo-v2.5-pro","xiaomi/mimo-v2.5-pro","固定性 / 对应版本待确认","xiaomi/mimo-v2.5-pro","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","Z-Image Turbo","z-image-turbo","z-image-turbo","固定性 / 对应版本待确认","z-image-turbo","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","GLM-5","ZHIPU/GLM-5","ZHIPU/GLM-5","固定性 / 对应版本待确认","ZHIPU/GLM-5","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","GLM-5.1","ZHIPU/GLM-5.1","ZHIPU/GLM-5.1","固定性 / 对应版本待确认","ZHIPU/GLM-5.1","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","GLM-5.2","ZHIPU/GLM-5.2","ZHIPU/GLM-5.2","固定性 / 对应版本待确认","ZHIPU/GLM-5.2","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","GLM 5.3","ZHIPU/GLM-5.3","ZHIPU/GLM-5.3","固定性 / 对应版本待确认","ZHIPU/GLM-5.3","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","GLM 5.3 Flash","ZHIPU/GLM-5.3-Flash","ZHIPU/GLM-5.3-Flash","固定性 / 对应版本待确认","ZHIPU/GLM-5.3-Flash","2026-09-21","https://help.aliyun.com/zh/model-studio/newly-released-models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"阿里云百炼","GLM-5.3-FlashX","ZHIPU/GLM-5.3-FlashX","ZHIPU/GLM-5.3-FlashX","固定性 / 对应版本待确认","ZHIPU/GLM-5.3-FlashX","2026-09-21","https://help.aliyun.com/zh/model-studio/model-pricing","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"火山方舟","DeepSeek-V4.1-Flash · 260910","deepseek-v4-1-flash-260910","deepseek-v4-1-flash-260910","固定性 / 对应版本待确认","deepseek-v4-1-flash-260910","2026-09-21","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh","official-indexed-id","静态可选","从官方发布公告的搜索索引核对精确 ID；直接 HTTP 返回 JS 外壳。此日期型号的固定性承诺仍待确认。"
"火山方舟","DeepSeek-V4-Flash-260425","deepseek-v4-flash-260425","deepseek-v4-flash-260425","固定性 / 对应版本待确认","deepseek-v4-flash-260425","2026-09-21","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh","official-indexed-id","静态可选","从官方发布公告的搜索索引核对精确 ID；直接 HTTP 返回 JS 外壳。此日期型号的固定性承诺仍待确认。"
"火山方舟","DeepSeek-V4-Flash-ga-260731","deepseek-v4-flash-ga-260731","deepseek-v4-flash-ga-260731","固定性 / 对应版本待确认","deepseek-v4-flash-ga-260731","2026-09-21","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh","official-indexed-id","静态可选","从官方发布公告的搜索索引核对精确 ID；直接 HTTP 返回 JS 外壳。此日期型号的固定性承诺仍待确认。"
"火山方舟","DeepSeek-V4-Pro-260425","deepseek-v4-pro-260425","deepseek-v4-pro-260425","固定性 / 对应版本待确认","deepseek-v4-pro-260425","2026-09-21","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh","official-indexed-id","静态可选","从官方发布公告的搜索索引核对精确 ID；直接 HTTP 返回 JS 外壳。此日期型号的固定性承诺仍待确认。"
"火山方舟","DeepSeek-V4-Pro GA · 260813","deepseek-v4-pro-ga-260813","deepseek-v4-pro-ga-260813","固定性 / 对应版本待确认","deepseek-v4-pro-ga-260813","2026-09-21","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh","official-indexed-id","静态可选","从官方发布公告的搜索索引核对精确 ID；直接 HTTP 返回 JS 外壳。此日期型号的固定性承诺仍待确认。 未额外把渠道日期 ID 推断为原厂 0813 别名。"
"火山方舟","doubao-1-5-lite-32k-250115","doubao-1-5-lite-32k-250115","doubao-1-5-lite-32k-250115","固定性 / 对应版本待确认","待确认","2026-09-21","https://docs.volcengine.com/docs/82379/1330310","unconfirmed","静态可选","本轮公开来源未能逐字确认此渠道 ID 或页面只返回外壳；保留原配置，版本待确认，不作为下架依据。"
"火山方舟","doubao-1-5-pro-32k-250115","doubao-1-5-pro-32k-250115","doubao-1-5-pro-32k-250115","固定性 / 对应版本待确认","待确认","2026-09-21","https://docs.volcengine.com/docs/82379/1330310","unconfirmed","静态可选","本轮公开来源未能逐字确认此渠道 ID 或页面只返回外壳；保留原配置，版本待确认，不作为下架依据。"
"火山方舟","doubao-1-5-vision-pro-32k-250115","doubao-1-5-vision-pro-32k-250115","doubao-1-5-vision-pro-32k-250115","固定性 / 对应版本待确认","待确认","2026-09-21","https://docs.volcengine.com/docs/82379/1330310","unconfirmed","静态可选","本轮公开来源未能逐字确认此渠道 ID 或页面只返回外壳；保留原配置，版本待确认，不作为下架依据。"
"火山方舟","doubao-seed-1-6-250615","doubao-seed-1-6-250615","doubao-seed-1-6-250615","固定性 / 对应版本待确认","待确认","2026-09-21","https://docs.volcengine.com/docs/82379/1330310","unconfirmed","静态可选","本轮公开来源未能逐字确认此渠道 ID 或页面只返回外壳；保留原配置，版本待确认，不作为下架依据。"
"火山方舟","doubao-seed-1-6-251015","doubao-seed-1-6-251015","doubao-seed-1-6-251015","固定性 / 对应版本待确认","待确认","2026-09-21","https://docs.volcengine.com/docs/82379/1330310","unconfirmed","静态可选","本轮公开来源未能逐字确认此渠道 ID 或页面只返回外壳；保留原配置，版本待确认，不作为下架依据。"
"火山方舟","doubao-seed-1-6-flash-250615","doubao-seed-1-6-flash-250615","doubao-seed-1-6-flash-250615","固定性 / 对应版本待确认","待确认","2026-09-21","https://docs.volcengine.com/docs/82379/1330310","unconfirmed","静态可选","本轮公开来源未能逐字确认此渠道 ID 或页面只返回外壳；保留原配置，版本待确认，不作为下架依据。"
